AME : levi50_4
COMMENT : 50-city problem (levikoppenhol)
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 376 91
2 794 833
3 454 417
4 340 431
5 480 449
6 633 697
7 499 775
8 221 570
9 609 162
10 338 936
11 612 744
12 561 665
13 582 275
14 599 798
15 220 500
16 721 847
17 299 552
18 901 93
19 912 86
20 964 869
21 14 361
22 882 297
23 295 431
24 238 269
25 808 235
26 947 122
27 410 614
28 769 445
29 434 30
30 394 481
31 915 123
32 582 492
33 843 798
34 941 350
35 850 900
36 348 515
37 613 481
38 554 542
39 491 207
40 563 327
41 41 452
42 940 856
43 789 493
44 788 773
45 842 677
46 794 936
47 216 615
48 941 540
49 641 963
50 849 628
EOF
