runtime, instance number, max population size, population size, max offspring, number of offspring, mean
4.609, 1, 1, 0, 1,0, 1.5574627243501356
4.697, 1, 1, 0, 2,1, 1.5596680557602352
4.407, 1, 1, 0, 3,2, 1.5712853928080652
4.314, 1, 1, 0, 4,3, 1.5740206332147815
4.212, 1, 1, 0, 5,4, 1.5773301733751803
4.189, 1, 1, 0, 6,5, 1.574119126142081
4.122, 1, 1, 0, 7,6, 1.5635523888123903
4.128, 1, 1, 0, 8,7, 1.5447675164340064
4.057, 1, 1, 0, 9,8, 1.5778678288698735
4.039, 1, 1, 0, 10,9, 1.5945684278308787
4.057, 1, 1, 0, 11,10, 1.6351095835935543
4.016, 1, 1, 0, 12,11, 1.6024109319799351
4.032, 1, 1, 0, 13,12, 1.572943659744833
3.978, 1, 1, 0, 14,13, 1.5817803379088142
3.972, 1, 1, 0, 15,14, 1.5831417263164882
3.973, 1, 1, 0, 16,15, 1.6313832245062323
3.931, 1, 1, 0, 17,16, 1.5844142995655957
3.986, 1, 1, 0, 18,17, 1.6279669180060696
3.951, 1, 1, 0, 19,18, 1.6060292143762407
3.926, 1, 1, 0, 20,19, 1.5931034860159285
3.939, 1, 1, 0, 21,20, 1.5858649527509858
3.963, 1, 1, 0, 22,21, 1.587909567402478
3.913, 1, 1, 0, 23,22, 1.635022893248204
3.906, 1, 1, 0, 24,23, 1.5587673195796612
3.867, 1, 1, 0, 25,24, 1.5957647035590403
3.909, 1, 1, 0, 26,25, 1.5992045970196611
3.89, 1, 1, 0, 27,26, 1.570086762630774
3.905, 1, 1, 0, 28,27, 1.578356732377221
3.894, 1, 1, 0, 29,28, 1.5863834279236797
3.883, 1, 1, 0, 30,29, 1.5989751862792347
3.877, 1, 1, 0, 31,30, 1.5878178433817047
3.896, 1, 1, 0, 32,31, 1.611829150476152
3.862, 1, 1, 0, 33,32, 1.6014586873014451
3.866, 1, 1, 0, 34,33, 1.5906055641134702
3.861, 1, 1, 0, 35,34, 1.600729518722313
3.85, 1, 1, 0, 36,35, 1.5317295414027678
3.911, 1, 1, 0, 37,36, 1.5850460273523823
3.852, 1, 1, 0, 38,37, 1.6100388569236253
3.851, 1, 1, 0, 39,38, 1.6186531633750352
3.9, 1, 1, 0, 40,39, 1.538040233636919
3.868, 1, 1, 0, 41,40, 1.6024653919283829
3.844, 1, 1, 0, 42,41, 1.577041205411191
3.874, 1, 1, 0, 43,42, 1.5865545901345572
3.841, 1, 1, 0, 44,43, 1.5855169706664207
3.845, 1, 1, 0, 45,44, 1.6115885309744038
3.855, 1, 1, 0, 46,45, 1.5719314069022925
3.829, 1, 1, 0, 47,46, 1.5860645687426815
3.854, 1, 1, 0, 48,47, 1.6112191154342752
3.864, 1, 1, 0, 49,48, 1.5964829121485284
3.826, 1, 1, 0, 50,49, 1.5914541249396694
4.928, 1, 2, 1, 1,0, 1.425804664693248
4.611, 1, 2, 1, 2,1, 1.414605736067954
4.402, 1, 2, 1, 3,2, 1.4614049493766808
4.253, 1, 2, 1, 4,3, 1.466783381651191
4.163, 1, 2, 1, 5,4, 1.4057924557904178
4.125, 1, 2, 1, 6,5, 1.4554965711931156
3.998, 1, 2, 1, 7,6, 1.3973433292150734
3.984, 1, 2, 1, 8,7, 1.3915173655237385
3.91, 1, 2, 1, 9,8, 1.3766322793424481
3.898, 1, 2, 1, 10,9, 1.4229765198885898
3.891, 1, 2, 1, 11,10, 1.4082530827860023
3.846, 1, 2, 1, 12,11, 1.4179786931368317
3.8, 1, 2, 1, 13,12, 1.4208222636691477
3.758, 1, 2, 1, 14,13, 1.4240890806695794
3.751, 1, 2, 1, 15,14, 1.3897027451057276
3.738, 1, 2, 1, 16,15, 1.4194174629503773
3.71, 1, 2, 1, 17,16, 1.419093732563952
3.678, 1, 2, 1, 18,17, 1.4043794845367201
3.765, 1, 2, 1, 19,18, 1.4348469485023108
3.698, 1, 2, 1, 20,19, 1.437633242950304
3.663, 1, 2, 1, 21,20, 1.4124028093786773
3.689, 1, 2, 1, 22,21, 1.427056081554289
3.655, 1, 2, 1, 23,22, 1.4666478000592307
3.641, 1, 2, 1, 24,23, 1.40576858828575
3.64, 1, 2, 1, 25,24, 1.4165345344638425
3.631, 1, 2, 1, 26,25, 1.4259493530228666
3.625, 1, 2, 1, 27,26, 1.3890483967221878
3.635, 1, 2, 1, 28,27, 1.4554396886173167
3.607, 1, 2, 1, 29,28, 1.4021785142728924
3.604, 1, 2, 1, 30,29, 1.4240057438456166
3.584, 1, 2, 1, 31,30, 1.432124288271631
3.608, 1, 2, 1, 32,31, 1.4160651271413283
3.636, 1, 2, 1, 33,32, 1.4269229256465703
3.627, 1, 2, 1, 34,33, 1.4270881077762159
3.589, 1, 2, 1, 35,34, 1.4121586962299437
3.594, 1, 2, 1, 36,35, 1.438694056299225
3.579, 1, 2, 1, 37,36, 1.4312198785198318
3.574, 1, 2, 1, 38,37, 1.4219681340895838
3.597, 1, 2, 1, 39,38, 1.4178832974554418
3.522, 1, 2, 1, 40,39, 1.4130337346548631
3.62, 1, 2, 1, 41,40, 1.3832082271558435
3.609, 1, 2, 1, 42,41, 1.4384805820644793
3.594, 1, 2, 1, 43,42, 1.451687129463593
3.546, 1, 2, 1, 44,43, 1.4053176423117832
3.558, 1, 2, 1, 45,44, 1.4509194042468878
3.511, 1, 2, 1, 46,45, 1.4161220276969355
3.556, 1, 2, 1, 47,46, 1.3915920556030983
3.547, 1, 2, 1, 48,47, 1.4641788427911009
3.502, 1, 2, 1, 49,48, 1.4326109088316978
3.502, 1, 2, 1, 50,49, 1.4188883160386738
5.188, 1, 3, 2, 1,0, 1.3623305233214502
4.826, 1, 3, 2, 2,1, 1.4050499459112025
4.579, 1, 3, 2, 3,2, 1.36931875466595
4.385, 1, 3, 2, 4,3, 1.4000934706962647
4.268, 1, 3, 2, 5,4, 1.3985269840491554
4.158, 1, 3, 2, 6,5, 1.3513887602851216
4.065, 1, 3, 2, 7,6, 1.3843649995471643
4.006, 1, 3, 2, 8,7, 1.3766686173500124
3.919, 1, 3, 2, 9,8, 1.3672256690281035
3.895, 1, 3, 2, 10,9, 1.4181259183533328
3.829, 1, 3, 2, 11,10, 1.3360127330793778
3.768, 1, 3, 2, 12,11, 1.412903654259912
3.762, 1, 3, 2, 13,12, 1.3792882680336473
3.727, 1, 3, 2, 14,13, 1.3732089182203946
3.73, 1, 3, 2, 15,14, 1.421134106335191
3.693, 1, 3, 2, 16,15, 1.383910192971399
3.629, 1, 3, 2, 17,16, 1.3659299853532882
3.618, 1, 3, 2, 18,17, 1.416979263067764
3.651, 1, 3, 2, 19,18, 1.382204216529956
3.596, 1, 3, 2, 20,19, 1.3734758626941699
3.56, 1, 3, 2, 21,20, 1.378822933321539
3.605, 1, 3, 2, 22,21, 1.3952506912914662
3.554, 1, 3, 2, 23,22, 1.403314904616194
3.53, 1, 3, 2, 24,23, 1.3789287773566667
3.56, 1, 3, 2, 25,24, 1.3866687314778265
3.515, 1, 3, 2, 26,25, 1.3828125556339934
3.505, 1, 3, 2, 27,26, 1.4054392248573735
3.525, 1, 3, 2, 28,27, 1.3678817931990386
3.53, 1, 3, 2, 29,28, 1.3879335818194438
3.52, 1, 3, 2, 30,29, 1.3710022538613835
3.5, 1, 3, 2, 31,30, 1.3780940605181842
3.433, 1, 3, 2, 32,31, 1.3807466734788627
3.452, 1, 3, 2, 33,32, 1.3653980165362198
3.481, 1, 3, 2, 34,33, 1.3691335852181732
3.446, 1, 3, 2, 35,34, 1.3750389046699183
3.423, 1, 3, 2, 36,35, 1.3544069633582934
3.439, 1, 3, 2, 37,36, 1.3774441105390698
3.452, 1, 3, 2, 38,37, 1.3686223150373424
3.52, 1, 3, 2, 39,38, 1.370324918584634
3.458, 1, 3, 2, 40,39, 1.415613005795056
3.481, 1, 3, 2, 41,40, 1.3763102579319546
3.472, 1, 3, 2, 42,41, 1.3583437132773821
3.472, 1, 3, 2, 43,42, 1.3535057274081412
3.441, 1, 3, 2, 44,43, 1.3792110007405314
3.426, 1, 3, 2, 45,44, 1.4274450811088137
3.434, 1, 3, 2, 46,45, 1.392607967963605
3.381, 1, 3, 2, 47,46, 1.4066902587393737
3.381, 1, 3, 2, 48,47, 1.3706501555391466
3.408, 1, 3, 2, 49,48, 1.3841110880931442
3.39, 1, 3, 2, 50,49, 1.4193298942565078
5.377, 1, 4, 3, 1,0, 1.4263998867880285
4.977, 1, 4, 3, 2,1, 1.4088158121695025
4.699, 1, 4, 3, 3,2, 1.396620778201663
4.433, 1, 4, 3, 4,3, 1.3781616269481893
4.276, 1, 4, 3, 5,4, 1.3749646170715732
4.179, 1, 4, 3, 6,5, 1.3564622562002742
4.074, 1, 4, 3, 7,6, 1.3766872386473268
4.007, 1, 4, 3, 8,7, 1.356057352176449
3.911, 1, 4, 3, 9,8, 1.357583170906937
3.883, 1, 4, 3, 10,9, 1.394474306137319
3.825, 1, 4, 3, 11,10, 1.3465686620949417
3.768, 1, 4, 3, 12,11, 1.3652077409153565
3.753, 1, 4, 3, 13,12, 1.3997206380766989
3.716, 1, 4, 3, 14,13, 1.384556262228323
3.688, 1, 4, 3, 15,14, 1.3637854729327687
3.642, 1, 4, 3, 16,15, 1.3715787195913252
3.635, 1, 4, 3, 17,16, 1.381417940841787
3.586, 1, 4, 3, 18,17, 1.3818189075390728
3.612, 1, 4, 3, 19,18, 1.3968185395218151
3.582, 1, 4, 3, 20,19, 1.3700476754693929
3.604, 1, 4, 3, 21,20, 1.3619159450988643
3.524, 1, 4, 3, 22,21, 1.402017798963615
3.531, 1, 4, 3, 23,22, 1.3799830463157408
3.526, 1, 4, 3, 24,23, 1.4120365227840592
3.507, 1, 4, 3, 25,24, 1.3684205693554485
3.486, 1, 4, 3, 26,25, 1.372976832003697
3.462, 1, 4, 3, 27,26, 1.3564528382576453
3.476, 1, 4, 3, 28,27, 1.3930338706326304
3.478, 1, 4, 3, 29,28, 1.359699746543794
3.437, 1, 4, 3, 30,29, 1.3783083089817012
3.419, 1, 4, 3, 31,30, 1.389801723869362
3.487, 1, 4, 3, 32,31, 1.3573503252117967
3.428, 1, 4, 3, 33,32, 1.3872712156152054
3.415, 1, 4, 3, 34,33, 1.3609171625916023
3.426, 1, 4, 3, 35,34, 1.380842082581547
3.389, 1, 4, 3, 36,35, 1.3213723393494434
3.418, 1, 4, 3, 37,36, 1.3815120034853523
3.447, 1, 4, 3, 38,37, 1.391561642021331
3.403, 1, 4, 3, 39,38, 1.4196827292189451
3.35, 1, 4, 3, 40,39, 1.3259835988800515
3.363, 1, 4, 3, 41,40, 1.344869220499601
3.364, 1, 4, 3, 42,41, 1.3746365894119514
3.412, 1, 4, 3, 43,42, 1.3773075068785312
3.367, 1, 4, 3, 44,43, 1.3934114315131612
3.349, 1, 4, 3, 45,44, 1.3602322753276714
3.367, 1, 4, 3, 46,45, 1.380501756980304
3.418, 1, 4, 3, 47,46, 1.3736629849229083
3.356, 1, 4, 3, 48,47, 1.3605104116670677
3.331, 1, 4, 3, 49,48, 1.362464715092218
3.373, 1, 4, 3, 50,49, 1.380357762869664
5.277, 1, 5, 4, 1,0, 1.418381933276259
4.973, 1, 5, 4, 2,1, 1.3641147970009966
4.661, 1, 5, 4, 3,2, 1.4014955116337666
4.467, 1, 5, 4, 4,3, 1.3619452336866866
4.293, 1, 5, 4, 5,4, 1.3395217158633204
4.224, 1, 5, 4, 6,5, 1.3770404887179803
4.109, 1, 5, 4, 7,6, 1.3590495506006064
3.991, 1, 5, 4, 8,7, 1.3965241139428297
3.938, 1, 5, 4, 9,8, 1.3547674243818146
3.888, 1, 5, 4, 10,9, 1.352735523318827
3.812, 1, 5, 4, 11,10, 1.3753474415324647
3.779, 1, 5, 4, 12,11, 1.3985623609169813
3.736, 1, 5, 4, 13,12, 1.3458796770983372
3.707, 1, 5, 4, 14,13, 1.387966162572819
3.707, 1, 5, 4, 15,14, 1.3524327154336273
3.677, 1, 5, 4, 16,15, 1.3724147177936554
3.647, 1, 5, 4, 17,16, 1.3528263555171676
3.646, 1, 5, 4, 18,17, 1.3595687980670095
3.569, 1, 5, 4, 19,18, 1.369531497884138
3.593, 1, 5, 4, 20,19, 1.3836227105586354
3.59, 1, 5, 4, 21,20, 1.3468944689936533
3.541, 1, 5, 4, 22,21, 1.3517616633365632
3.515, 1, 5, 4, 23,22, 1.381305552324866
3.509, 1, 5, 4, 24,23, 1.3917532793976932
3.467, 1, 5, 4, 25,24, 1.3610067037805118
